English understanding,Shell script
Move all .eps files from EPSFiles and all subfolders into the EPSFlat directory,find ~/EPSFiles -type f -name '*.eps' -exec mv {} ~/EPSFlat/ \;
Move all .odt files from OpenDocs and its subfolders into the ODTFlat directory,find ~/OpenDocs -type f -name '*.odt' -exec mv {} ~/ODTFlat/ \;
Move all .rtf files from RichText and all nested folders into the RTFFlat directory,find ~/RichText -type f -name '*.rtf' -exec mv {} ~/RTFFlat/ \;
Move all .flac files from LosslessMusic and subfolders into the FLACFlat directory,find ~/LosslessMusic -type f -name '*.flac' -exec mv {} ~/FLACFlat/ \;
Move all .aac files from AACMusic and all subfolders into the AACFlat directory,find ~/AACMusic -type f -name '*.aac' -exec mv {} ~/AACFlat/ \;
Move all .webm files from WebMovies and its subfolders into the WEBMFlat directory,find ~/WebMovies -type f -name '*.webm' -exec mv {} ~/WEBMFlat/ \;
Move all .mov files from MovieFiles and all nested folders into the MOVFlat directory,find ~/MovieFiles -type f -name '*.mov' -exec mv {} ~/MOVFlat/ \;
Move all .mkv files from MKVMovies and subfolders into the MKVFlat directory,find ~/MKVMovies -type f -name '*.mkv' -exec mv {} ~/MKVFlat/ \;
Move all .avi files from AVIMovies and all subfolders into the AVIFlat directory,find ~/AVIMovies -type f -name '*.avi' -exec mv {} ~/AVIFlat/ \;
Move all .tar files from Tarballs and its subfolders into the TARFlat directory,find ~/Tarballs -type f -name '*.tar' -exec mv {} ~/TARFlat/ \;
Move all .gz files from GZFiles and all nested folders into the GZFlat directory,find ~/GZFiles -type f -name '*.gz' -exec mv {} ~/GZFlat/ \;
Move all .7z files from Archives7z and subfolders into the SevenZFlat directory,find ~/Archives7z -type f -name '*.7z' -exec mv {} ~/SevenZFlat/ \;
Move all .rar files from RARArchives and all subfolders into the RARFlat directory,find ~/RARArchives -type f -name '*.rar' -exec mv {} ~/RARFlat/ \;
Move all .mpg files from MPGMovies and its subfolders into the MPGFlat directory,find ~/MPGMovies -type f -name '*.mpg' -exec mv {} ~/MPGFlat/ \;
Move all .mpeg files from MPEGMovies and all nested folders into the MPEGFlat directory,find ~/MPEGMovies -type f -name '*.mpeg' -exec mv {} ~/MPEGFlat/ \;
Move all .ogg files from OGGMusic and subfolders into the OGGFlat directory,find ~/OGGMusic -type f -name '*.ogg' -exec mv {} ~/OGGFlat/ \;
Move all .opus files from OpusMusic and all subfolders into the OPUSFlat directory,find ~/OpusMusic -type f -name '*.opus' -exec mv {} ~/OPUSFlat/ \;
Move all .bmp files from Bitmaps and its subfolders into the BMPFlat directory,find ~/Bitmaps -type f -name '*.bmp' -exec mv {} ~/BMPFlat/ \;
Move all .tiff files from TIFFs and all nested folders into the TIFFFlat directory,find ~/TIFFs -type f -name '*.tiff' -exec mv {} ~/TIFFFlat/ \;
Move all .heic files from HEICPhotos and subfolders into the HEICFlat directory,find ~/HEICPhotos -type f -name '*.heic' -exec mv {} ~/HEICFlat/ \;
Move all .apng files from APNGs and all subfolders into the APNGFlat directory,find ~/APNGs -type f -name '*.apng' -exec mv {} ~/APNGFlat/ \;
Move all .cr2 files from CanonRAW and its subfolders into the CR2Flat directory,find ~/CanonRAW -type f -name '*.cr2' -exec mv {} ~/CR2Flat/ \;
Move all .nef files from NikonRAW and all nested folders into the NEFFlat directory,find ~/NikonRAW -type f -name '*.nef' -exec mv {} ~/NEFFlat/ \;
Move all .arw files from SonyRAW and subfolders into the ARWFlat directory,find ~/SonyRAW -type f -name '*.arw' -exec mv {} ~/ARWFlat/ \;
Move all .dng files from DNGPhotos and all subfolders into the DNGFlat directory,find ~/DNGPhotos -type f -name '*.dng' -exec mv {} ~/DNGFlat/ \;
Move all .svgz files from SVGZs and its subfolders into the SVGZFlat directory,find ~/SVGZs -type f -name '*.svgz' -exec mv {} ~/SVGZFlat/ \;
Move all .ico files from Icons and all nested folders into the ICOFlat directory,find ~/Icons -type f -name '*.ico' -exec mv {} ~/ICOFlat/ \;
Move all .jfif files from JFIFs and subfolders into the JFIFFlat directory,find ~/JFIFs -type f -name '*.jfif' -exec mv {} ~/JFIFFlat/ \;
Move all .webp files from WebPImages and all subfolders into the WEBPFlat directory,find ~/WebPImages -type f -name '*.webp' -exec mv {} ~/WEBPFlat/ \;
Move all .m4a files from M4AMusic and its subfolders into the M4AFlat directory,find ~/M4AMusic -type f -name '*.m4a' -exec mv {} ~/M4AFlat/ \;
Move all .aac files from AACAudio and all nested folders into the AACAudioFlat directory,find ~/AACAudio -type f -name '*.aac' -exec mv {} ~/AACAudioFlat/ \;
Move all .flv files from FLVVideos and subfolders into the FLVFlat directory,find ~/FLVVideos -type f -name '*.flv' -exec mv {} ~/FLVFlat/ \;
Move all .3gp files from ThreeGPVideos and all subfolders into the ThreeGPFlat directory,find ~/ThreeGPVideos -type f -name '*.3gp' -exec mv {} ~/ThreeGPFlat/ \;
Move all .m4v files from M4VMovies and its subfolders into the M4VFlat directory,find ~/M4VMovies -type f -name '*.m4v' -exec mv {} ~/M4VFlat/ \;
Move all .asf files from ASFMovies and all nested folders into the ASFFlat directory,find ~/ASFMovies -type f -name '*.asf' -exec mv {} ~/ASFFlat/ \;
Move all .vob files from VOBMovies and subfolders into the VOBFlat directory,find ~/VOBMovies -type f -name '*.vob' -exec mv {} ~/VOBFlat/ \;
Move all .wmv files from WMVMovies and all subfolders into the WMVFlat directory,find ~/WMVMovies -type f -name '*.wmv' -exec mv {} ~/WMVFlat/ \;
Move all .rm files from RealMedia and its subfolders into the RMFlat directory,find ~/RealMedia -type f -name '*.rm' -exec mv {} ~/RMFlat/ \;
Move all .ram files from RealAudio and all nested folders into the RAMFlat directory,find ~/RealAudio -type f -name '*.ram' -exec mv {} ~/RAMFlat/ \;
Move all .midi files from MIDIFiles and subfolders into the MIDIFLat directory,find ~/MIDIFiles -type f -name '*.midi' -exec mv {} ~/MIDIFLat/ \;
Move all .mid files from MIDFiles and all subfolders into the MIDFlat directory,find ~/MIDFiles -type f -name '*.mid' -exec mv {} ~/MIDFlat/ \;
Move all .aiff files from AIFFMusic and its subfolders into the AIFFFlat directory,find ~/AIFFMusic -type f -name '*.aiff' -exec mv {} ~/AIFFFlat/ \;
Move all .au files from AUMusic and all nested folders into the AUFlat directory,find ~/AUMusic -type f -name '*.au' -exec mv {} ~/AUFlat/ \;
Move all .mp2 files from MP2Music and subfolders into the MP2Flat directory,find ~/MP2Music -type f -name '*.mp2' -exec mv {} ~/MP2Flat/ \;
Move all .amr files from AMRRecordings and all subfolders into the AMRFlat directory,find ~/AMRRecordings -type f -name '*.amr' -exec mv {} ~/AMRFlat/ \;
Move all .caf files from CAFMusic and its subfolders into the CAFFlat directory,find ~/CAFMusic -type f -name '*.caf' -exec mv {} ~/CAFFlat/ \;
Move all .ra files from RAMusic and all nested folders into the RAFlat directory,find ~/RAMusic -type f -name '*.ra' -exec mv {} ~/RAFlat/ \;
Move all .mka files from MKAMusic and subfolders into the MKAFlat directory,find ~/MKAMusic -type f -name '*.mka' -exec mv {} ~/MKAFlat/ \;
Move all .dsf files from DSFMusic and all subfolders into the DSFFlat directory,find ~/DSFMusic -type f -name '*.dsf' -exec mv {} ~/DSFFlat/ \;
Move all .dff files from DFFMusic and its subfolders into the DFFFlat directory,find ~/DFFMusic -type f -name '*.dff' -exec mv {} ~/DFFFlat/ \;
Move all .wv files from WVMusic and all nested folders into the WVFlat directory,find ~/WVMusic -type f -name '*.wv' -exec mv {} ~/WVFlat/ \;
Move all .ape files from APEMusic and subfolders into the APEFlat directory,find ~/APEMusic -type f -name '*.ape' -exec mv {} ~/APEFlat/ \;
Move all .mpc files from MPCMusic and all subfolders into the MPCFlat directory,find ~/MPCMusic -type f -name '*.mpc' -exec mv {} ~/MPCFlat/ \;
Move all .tta files from TTAMusic and its subfolders into the TTAFlat directory,find ~/TTAMusic -type f -name '*.tta' -exec mv {} ~/TTAFlat/ \;
Move all .oga files from OGAMusic and all nested folders into the OGAFlat directory,find ~/OGAMusic -type f -name '*.oga' -exec mv {} ~/OGAFlat/ \;
Move all .spx files from SPXMusic and subfolders into the SPXFlat directory,find ~/SPXMusic -type f -name '*.spx' -exec mv {} ~/SPXFlat/ \;
Move all .opus files from OpusAudio and all subfolders into the OpusAudioFlat directory,find ~/OpusAudio -type f -name '*.opus' -exec mv {} ~/OpusAudioFlat/ \;
Move all .m3u files from Playlists and its subfolders into the M3UFlat directory,find ~/Playlists -type f -name '*.m3u' -exec mv {} ~/M3UFlat/ \;
Move all .pls files from PLSPlaylists and all nested folders into the PLSFlat directory,find ~/PLSPlaylists -type f -name '*.pls' -exec mv {} ~/PLSFlat/ \;
Move all .cue files from CueSheets and subfolders into the CUEFlat directory,find ~/CueSheets -type f -name '*.cue' -exec mv {} ~/CUEFlat/ \;
Move all .jpg files from Pictures created in January 2023 to 2023/January/ and rename as <day>.jpg,find ~/Pictures -type f -name '*.jpg' -newermt 2023-01-01 ! -newermt 2023-02-01 -exec sh -c 'd=$(date -r "$0" +%d); mv "$0" ~/2023/January/"$d".jpg' {} \;
Move all .png files from Pictures created in February 2023 to 2023/February/ and rename as <day>.png,find ~/Pictures -type f -name '*.png' -newermt 2023-02-01 ! -newermt 2023-03-01 -exec sh -c 'd=$(date -r "$1" +%d); mv "$1" ~/2023/February/"$d".png' _ {} \;
Move all .gif files from Gifs created in March 2023 to 2023/March/ and rename as <day>.gif,find ~/Gifs -type f -name '*.gif' -newermt 2023-03-01 ! -newermt 2023-04-01 -exec sh -c 'd=$(date -r "$1" +%d); mv "$1" ~/2023/March/"$d".gif' _ {} \;
Move all .bmp files from Bitmaps created in April 2023 to 2023/April/ and rename as <day>.bmp,find ~/Bitmaps -type f -name '*.bmp' -newermt 2023-04-01 ! -newermt 2023-05-01 -exec sh -c 'd=$(date -r "$1" +%d); mv "$1" ~/2023/April/"$d".bmp' _ {} \;
Move all .svg files from SVGs created in May 2023 to 2023/May/ and rename as <day>.svg,find ~/SVGs -type f -name '*.svg' -newermt 2023-05-01 ! -newermt 2023-06-01 -exec sh -c 'd=$(date -r "$0" +%d); mv "$0" ~/2023/May/"$d".svg' {} \;
Group all files by year and month based on modification date,for file in *; do [ -f \"$file\" ] || continue; year=$(date -r \"$file\" +\"%Y\"); month=$(date -r \"$file\" +\"%b\"); mkdir -p \"$year/$month\"; mv \"$file\" \"$year/$month/\"; done"
Move all PDF files to a folder called pdfs,mkdir -p pdfs && mv *.pdf pdfs/"
Count how many .txt files are in the directory,ls *.txt | wc -l"
List all files modified in the last 7 days,find . -type f -mtime -7"
Delete all .log files larger than 10MB,find . -name '*.log' -size +10M -delete"
Find all image files and move them to an 'images' folder,mkdir -p images && mv *.jpg *.jpeg *.png images/"
List files in the current directory,ls
Change directory,cd
Display contents of Neha_Contacts.vcf,cat ~/Downloads/Neha_Contacts.vcf
Clear the terminal screen,clear
Show the absolute path of Neha_Contacts.vcf,realpath ~/Downloads/Neha_Contacts.vcf
Activate the Python virtual environment,source venv/bin/activate
Clear the terminal screen,clear
Install the vobject Python package,pip install vobject
Clear the terminal screen,clear
Activate the Wedding_App Python virtual environment,source /Users/sohanpatil/Documents/VSWorkspace/Wedding_App/venv/bin/activate
Clear the terminal screen,clear
Display contents of Neha_Contacts.vcf,cat ~/Downloads/Neha_Contacts.vcf
Clear the terminal screen,clear
Show the first 10 lines of Neha_Contacts.vcf,head ~/Downloads/Neha_Contacts.vcf
Show the first 20 lines of Neha_Contacts.vcf,head -20 ~/Downloads/Neha_Contacts.vcf
Clear the terminal screen,clear
Change directory to Application Support,cd Library/Application\ Support/
List files in the current directory,ls
Change directory to AddressBook,cd AddressBook
List files in the current directory,ls
Change directory to Sources,cd Sources
Clear the terminal screen,clear
List files in the current directory,ls
Display contents of file 95211C48-76A1-4C2B-9679-979F1FB9DDDF,cat 95211C48-76A1-4C2B-9679-979F1FB9DDDF
Change directory to 95211C48-76A1-4C2B-9679-979F1FB9DDDF,cd 95211C48-76A1-4C2B-9679-979F1FB9DDDF
List files in the current directory,ls
Clear the terminal screen,clear
Install the contacts Python package,pip install contacts
Clear the terminal screen,clear
Upgrade pip,pip install --upgrade pip
Clear the terminal screen,clear
Show the absolute path of Neha_Contacts.vcf,realpath ~/Downloads/Neha_Contacts.vcf
Clear the terminal screen,clear
Change directory to Downloads,cd /Users/sohanpatil/Downloads
Clear the terminal screen,clear
List files in the current directory,ls
Open VS Code in the current directory,code .
Show the absolute path of Neha_Contacts.vcf,realpath ~/Downloads/Neha_Contacts.vcf
Activate the Wedding_App Python virtual environment,source /Users/sohanpatil/Documents/VSWorkspace/Wedding_App/venv/bin/activate
Show disk usage in kilobytes,df -k
Change directory to UBUNTU 20_0 volume,cd /Volumes/UBUNTU\ 20_0
List files in the current directory,ls
Show disk usage of SohanPhone directory,du -sk SohanPhone
Change directory to SohanPhonels,cd SohanPhonels
List files in the current directory,ls
Change directory to SohanPhone,cd SohanPhone
List files in the current directory,ls
List files in Davis directory,ls Davis
Change directory to Davis,cd Davis
List files in the current directory,ls
Exit the shell,exit
Activate the Wedding_App Python virtual environment,source /Users/sohanpatil/Documents/VSWorkspace/Wedding_App/venv/bin/activate
Print working directory,pwd
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
List files in the current directory,ls
Pull latest changes from git,git pull
Accept Xcode license,sudo xcodebuild -license
Pull latest changes from git,git pull
Accept Xcode license,sudo xcodebuild -license
Pull latest changes from git,git pull
Show git diff for dbtest.py,gd dbtest.py
Stash changes for dbtest.py,git stash push dbtest.py
Show git diff for model.py,gd model.py
Stash changes for model.py,git stash push model.py
Pull latest changes from git,git pull
Show git diff for portfolio.py,gd portfolio.py
Stash changes for portfolio.py,git stash push portfolio.py
Show git diff for postprocessmanage.py,gd postprocessmanage.py
Stash changes for postprocessmanage.py,git stash push postprocessmanage.py
Pull latest changes from git,git pull
Run pylint,pylint
Run pylint on stocksLib.py,pylint stocksLib.py
Run pylint on stocksLib.py and save output to foo,pylint stocksLib.py > foo
Open foo in vi,vi foo
Run pylint on stocksLib.py and save output to foo,pylint stocksLib.py > foo
Open foo in vi,vi foo
Run pylint on stocksLib.py and save output to foo,pylint stocksLib.py > foo
Search for 'undefined' in foo,grep undefined foo
Run pylint on stocksLib.py and save output to foo,pylint stocksLib.py > foo
Search for 'undefined' in foo,grep undefined foo
Run pylint on stocksLib.py and save output to foo,pylint stocksLib.py > foo
Search for 'undefined' in foo,grep undefined foo
Run pylint on stocksLib.py and save output to foo,pylint stocksLib.py > foo
Search for 'undefined' in foo,grep undefined foo
Run pylint on stocksLib.py and save output to foo,pylint stocksLib.py > foo
Search for 'undefined' in foo,grep undefined foo
Open foo in vi,vi foo
Run pylint on config.py,pylint config.py
Run pylint on config.py and search for 'undef',pylint config.py | grep undef
Run pylint on all .py files and search for 'undefined',for i in *.py\ndo\necho $i\npylint | grep undefined\nread line\ndone
Run pylint on all .py files and search for 'undefined',for i in *.py\ndo\necho $i\npylint $i | grep undefined\nread line\ndone
Show git status,gt
Show git status,gt2
Show git status,a 
Show git status,alias
Show git diff for stocksLib.py,gc stocksLib.py
Push changes to git,git push
Show git status,git status
Show git diff for analysis.py,gc analysis.py
Push changes to git,git push
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
Search for 'signup' in ssurls.py,grep signup ssurls.py
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
Search for 'ssmacd' in all .py files,grep ssmacd *.py
Start MySQL client,mysql
Print working directory,pwd
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
Push changes to git,git push
Show git remote URLs,git remote -v
Change directory to MobileSync backup,cd ~/Library/Application\ Support/MobileSync
List files in the current directory,LS
List files in the current directory,ls
Clear the terminal screen,clear
Change directory to saralstocksWeb,cd saralstocksWeb
List files in the current directory,ls
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
Show git status,git status
Pull latest changes from git,git pull
Push changes to git,git push
Add all files to git,git add .
Commit changes with message 'WIP',git commit -m "WIP"
Push changes to git,git push
Clear the terminal screen,cleaar
Clear the terminal screen,clear
Show git status,git status
Clear the terminal screen,clear
Exit the shell,exit
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
List files in the current directory,ls
Remove __pycache__ directory from git,git rm __pycache__/
Remove __pycache__ directory recursively from git,git rm -r __pycache__/
Commit changes with message 'Removed pycache',git commit -m "Removed pycache"
Push changes to git,git push
Clear the terminal screen,clear
Remove tmp directory recursively from git,git rm -r tmp/
Remove logs directory recursively from git,git rm -r logs/
Remove dn directory recursively from git,git rm -r dn/
Commit changes with message 'Removed extra directories',git commit -m "Removed extra directories"
Push changes to git,git push
Exit the shell,exit
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
Show git branch,git branch
Show git status,git status
Show git status,gt
Push changes to git,git push
Fetch changes from git,git fetch
Pull latest changes from git,git pull
Push changes to git,git push
Show git status,gt
Show git status,git status
Remove tmp directory recursively from git,git rm -r tmp
Commit changes to git,git commit
Add tmp directory to git,git add tmp
Commit changes to git,git commit
Remove tmp directory from git cache,git rm --cache tmp
Remove tmp directory recursively from git cache,git rm -r --cache tmp
Commit changes to git,git commit
Show git diff for longterm_trend.py,git diff longterm_trend.py
Start bash shell,bash
Exit the shell,exit
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
Show git status,git status
Show git diff for longterm_trend.py,git diff longterm_trend.py
Stash changes for longterm_trend.py,git stash push longterm_trend.py
Clear the terminal screen,clear
Show git status,git status
Display contents of log.txt,cat log.txt
Remove log.txt from git,git rm log.txt
Force remove log.txt from git,git rm -f log.txt
Clear the terminal screen,clear
Show git status,git status
Alias git status,alias git status
Alias gt to git status,alias gt="git status"
Show git status,gt
Show git status,gs
Remove static/ss/preprocess.txt from git,git rm static/ss/preprocess.txt
Force remove static/ss/preprocess.txt from git,git rm -f static/ss/preprocess.txt
Clear the terminal screen,gt
Pull latest changes from git,git pull
Clear the terminal screen,clear
Activate the finance conda environment,conda activate finance
Clear the terminal screen,clear
Show path to python,which python
Show path to python3,which python3
Change directory to finance environment bin,cd /Users/sohanpatil/opt/anaconda3/envs/finance/bin/
List files in the current directory,ls
Change directory to python3,cd python3
Clear the terminal screen,clear
List files in the current directory,ls
Change directory up one level,cd ..
List files in the current directory,ls
Change directory to lib,cd lib
List files in the current directory,ls
Clear the terminal screen,clear
Change directory to home,cd
Change directory to previous directory,cd -
List files in the current directory,ls
Change directory to python3.1,cd python3.1
List files in the current directory,ls
Clear the terminal screen,clear
List files in the current directory,ls | grep chrome*
List files in the current directory matching chrome*,ls | grep *chrome*
List files in the current directory,ls
Change directory up one level,cd ..
Change directory to python3.10,cd python3.10
List files in the current directory,ls
Clear the terminal screen,clear
List files in the current directory,ls
List files in the current directory matching chrome*,ls | grep *chrome*
Clear the terminal screen,clear
Show current directory,c
Change directory to home,cd
List files in the current directory,ls
Change directory to saralstocksWeb,cd saralstocksWeb
Deactivate the conda environment,conda deactivate
Clear the terminal screen,clear
List files in the current directory,ls
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
List files in the current directory,ls
Show git status,git status
Clear the terminal screen,clear
Change directory to uploads,cd uploads
Move ADANIENT.NS.csv from Downloads to current directory,mv ~/Downloads/ADANIENT.NS.csv .
Show git status,git status
Exit the shell,exit
Clear the terminal screen,clea
Clear the terminal screen,clear
List files in the current directory,ls
Change directory to VSWorkspace,cd Documents/VSWorkspace
List files in the current directory,ls
Change directory to Wedding_App,cd Wedding_App
Activate the Wedding_App Python virtual environment,source /Users/sohanpatil/Documents/VSWorkspace/Wedding_App/venv/bin/activate
Clear the terminal screen,clear
Install the black Python package,pip install black
Clear the terminal screen,clear
Change directory to home,cd
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
Clear the terminal screen,clear
List files in the current directory,ls
Show git status,git status
Add longterm_trend.py to git,git add longterm_trend.py
Commit changes with message 'Formatting changes and addition of new code',git commit -m "Formatting changes and addition of new code"
Push changes to git,git push
Pull latest changes from git,git pull
Show git diff for config.py,git diff config.py
Add config.py to git,git add config.py
Commit changes with message 'WIP',git commit -m "WIP\n"
Push changes to git,git push
Fetch changes from git,git fetch
Pull latest changes from git,git pull
Clear the terminal screen,clear
Add longterm_trend.py to git,git add longterm_trend.py
Commit changes with message 'Fixed merge conflicts',git commit -m "Fixed merge conflicts"
Push changes to git,git push
Clear the terminal screen,clear
Pull latest changes from git,git pull
Push changes to git,git push
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
List files in the current directory,ls
Show git status,git status
Show git diff for longterm_trend.py,git diff longterm_trend.py
Clear the terminal screen,clear
Show git status,git status
Add longterm_trend.py to git,git add longterm_trend.py
Show git diff for longterm_trend.py,git diff longterm_trend.py
Commit changes with message 'Modified components',git commit -m "Modified components"
Show git diff for dataLib.py,git diff dataLib.py
Add dataLib.py to git,git add dataLib.py
Show git diff for dbtest.py,gd dbtest.py
Stash changes for dbtest.py,git stash push dbtest.py
Show git status,git status
Show git diff for ssautoincl.py,git diff ssautoincl.py
Stash changes for ssautoincl.py,git stash push ssautoincl.py
Commit changes with message 'WIP',git commit -m "WIP"
Push changes to git,git push
Pull latest changes from git,git pull
Push changes to git,git push
Clear the terminal screen,clear
Run longterm_trend.py,python longterm_trend.py
Run longterm_trend.py with NSE:JBMA data,python longterm_trend.py -d nse:jbma
Activate the finance conda environment,conda activate finance
Run longterm_trend.py with NSE:JBMA data,python longterm_trend.py -d nse:jbma
Clear the terminal screen,clear
Run longterm_trend.py with NSE:JBMA data,python longterm_trend.py -d nse:jbma
Start bash shell,bash
Exit the shell,exit
Start bash shell,bash
Exit the shell,exit
Show disk usage in kilobytes,df -k 
Show disk usage of current directory,du -sk .
Print working directory,pwd
Change directory to /System/Volumes/Data/home,cd /System/Volumes/Data/home
List files in the current directory,ls
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
Pull latest changes from git,git pull
Clear the terminal screen,clear
Run Python script with debugpy, /usr/bin/env /opt/homebrew/bin/python3 /Users/sohanpatil/.vscode/extensions/ms-python.python-2023.22.1/pythonFiles/lib/python/debugpy/adapter/../../debugpy/launcher 54435 -- /Users/sohanpatil/Documents/Leetcode/242_Valid_Anagram.py 
Clear the terminal screen,clear
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
Show git status,git status
Add longterm_trend.py to git,git add longterm_trend.py
Commit changes with message 'Longterm page shows data without exchange related bug.',git commit -m "Longterm page shows data without exchange related bug."
Show git status,git status
Push changes to git,git push
Clear the terminal screen,clear
List files in the current directory,ls
Search for 'urlPrefix' in all .py files,grep urlPrefix *.py
Clear the terminal screen,ls
Clear the terminal screen,clear
Show git status,git status
Add longterm_trend.py to git,git add longterm_trend.py
Show git diff for longterm_trend.py,git diff longterm_trend.py
Commit changes with message 'Removed pkl content',git commit -m "Removed pkl content"
Push changes to git,git push
Quit the shell,quit
Exit the shell,exit
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
Pull latest changes from git,git pull
Show git status,git status
Add longterm_trend.py to git,git add longterm_trend.py
Commit changes with message 'Cleaned code for sell stock',git commit -m "Cleaned code for sell stock"
Push changes to git,git push
Clear the terminal screen,clear
Connect to MySQL server,mysql -h
Connect to MySQL server at 103.228.50.33,mysql -h 103.228.50.33
Connect to MySQL server at 103.228.50.33 with user and password,mysql -h 103.228.50.33 -u ssdefaultuser -p
Search for 'SUSPECT' (case-insensitive) in all .py files,grep -i SUSPECT *.py
Show git status,git status
Add longterm_trend.py to git,git add longterm_trend.py
Commit changes with message 'Added some details for suspect stocks',git commit -m "Added some details for suspect stocks"
Push changes to git,git push
Clear the terminal screen,clear
Change directory up one level,cd ..
List files in the current directory,ls
Change directory up one level,cd ..
List files in the current directory,ls
Change directory up one level,cd ..
List files in the current directory,ls
Change directory to home,cd
List files in the current directory,ls
Change directory up two levels,cd ../../
List files in the current directory,ls
Change directory to Volumes/Seagate,cd Volumes/Seagate
List files in the current directory,ls
Search for '0893' in current directory,grep 0893 .
Count files named IMG_0894.JPG in directory,find $directory_path -name IMG_0894.JPG | wc -l
Count files named IMG_0894.JPG in current directory,find . -name IMG_0894.JPG | wc -l
List files in the current directory,ls
Change directory to Suhas,cd Suhas
Change directory up one level,cd ..
List files in the current directory,ls
Change directory to SuhasIphonePhotos,cd SuhasIphonePhotos
List files in the current directory,ls
Count files named IMG_0894.JPG in current directory,find . -name IMG_0894.JPG | wc -l
Count files named IMG_6227.MOV in current directory,find . -name IMG_6227.MOV | wc -l
Find IMG_6227.MOV in current directory,find . -name IMG_6227.MOV
Find IMG_0894.JPG in current directory,find . -name IMG_0894.JPG
Change directory to home,cd
Change directory to Pictures,cd Pictures
List files in the current directory,ls
Change directory to Photos Library,cd Photos\ Library.photoslibrary
List files in the current directory,ls
Start bash shell,sudo bash
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
Show git status,git status
Show shell path,echo /bin/zsh
Clear the terminal screen,clear
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
Pull latest changes from git,git pull
Clear the terminal screen,clear
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
Push changes to git,git push
Pull latest changes from git,git pull
Push changes to git,git push
Add longterm_trend.py to git,git add longterm_trend.py
Commit changes with message 'Suspect stock related collection done',git commit -m Suspect stock related collection done"\nquit\n'\n"
Show git status,git status
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
Pull latest changes from git,git pull
Push changes to git,git push
Show shell path,echo /bin/zsh
Show path to python,/opt/homebrew/bin/python3
Show shell path,echo /bin/zsh
Show path to python,/opt/homebrew/bin/python3
Show shell path,echo /bin/zsh
Change directory to saralstocksWeb,cd Documents/saralstocksWeb
Pull latest changes from git,git pull
Show shell path,echo /bin/zsh
Show system information,uname -a
Show open files on port 6443,lsof -i:6443
Clear the terminal screen,clear
Install k3s using curl,curl -sfL https://get.k3s.io | sh -
Stop minikube,minikube stop
Delete minikube,minikube delete
List all Docker containers,docker ps -aq
Change directory to ~/.kube,cd ~/.kube
List files in the current directory,ls
Change directory up one level,cd ..
Change directory to ~/.minikube,cd ~/.minikube
List files in the current directory,ls
Change directory up one level,cd ..
Show error message,[ERROR]  Can not find systemd or openrc to 
Remove .kube and .minikube directories,rm -r ~/.kube ~/.minikube\

Change directory to ~/.minikube,cd ~/.minikube
Clear the terminal screen,clear
Remove localkube and minikube binaries,sudo rm /usr/local/bin/localkube /usr/local/bin/minikube\

Stop kubelet mounts,systemctl stop '*kubelet*.mount'\nsudo rm -rf /etc/kubernetes/\ndocker system prune -af --volumes
Clear the terminal screen,clear
Uninstall minikube using brew,brew uninstall minikube
Clear the terminal screen,clear
Install minikube using brew,brew install minikube
Show minikube status,minikube status
Clear the terminal screen,clear
Show path to minikube,which minikube
Start minikube,minikube start
Show all Kubernetes pods,kubectl get po -A
Show all Kubernetes pods using minikube,minikube kubectl -- get po -A
Alias kubectl to minikube kubectl,alias kubectl="minikube kubectl --"\

Run kubectl,kubectl
Clear the terminal screen,clear
Open minikube dashboard,minikube dashboard
Show shell path,echo /bin/zsh
List files in the current directory,ls
Create Python virtual environment venvKhojpal,python -m venv venvKhojpal
Run Python script to print environment variables,/usr/bin/python3 /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.0/pythonFiles/printEnvVariablesToFile.py /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.0/pythonFiles/deactivate/zsh/envVars.txt
Install fastapi and uvicorn,pip install fastapi uvicorn
Clear the terminal screen,clear
Run main.py,python main.py
Run Python script to print environment variables,/opt/homebrew/bin/python3 /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.1/pythonFiles/printEnvVariablesToFile.py /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.1/pythonFiles/deactivate/zsh/envVars.txt
Clear the terminal screen,clear
Run main.py,python main.py
Clear the terminal screen,clear
