English understanding,Shell script
Move all .bak files from Backups and all nested folders into the BAKFlat directory,find ~/Backups -type f -name '*.bak' -exec mv {} ~/BAKFlat/ \;
Move all .tmp files from Temp and subfolders into the TMPFlat directory,find ~/Temp -type f -name '*.tmp' -exec mv {} ~/TMPFlat/ \;
Move all .dat files from DataFiles and all subfolders into the DATFlat directory,find ~/DataFiles -type f -name '*.dat' -exec mv {} ~/DATFlat/ \;
Move all .svg files from SVGs and its subfolders into the SVGFlat directory,find ~/SVGs -type f -name '*.svg' -exec mv {} ~/SVGFlat/ \;
Move all .psd files from Photoshop and all nested folders into the PSDFlat directory,find ~/Photoshop -type f -name '*.psd' -exec mv {} ~/PSDFlat/ \;
Move all .ai files from Illustrator and subfolders into the AIFlat directory,find ~/Illustrator -type f -name '*.ai' -exec mv {} ~/AIFlat/ \;
Move all .eps files from EPSFiles and all subfolders into the EPSFlat directory,find ~/EPSFiles -type f -name '*.eps' -exec mv {} ~/EPSFlat/ \;
Move all .odt files from OpenDocs and its subfolders into the ODTFlat directory,find ~/OpenDocs -type f -name '*.odt' -exec mv {} ~/ODTFlat/ \;
Move all .rtf files from RichText and all nested folders into the RTFFlat directory,find ~/RichText -type f -name '*.rtf' -exec mv {} ~/RTFFlat/ \;
Move all .flac files from LosslessMusic and subfolders into the FLACFlat directory,find ~/LosslessMusic -type f -name '*.flac' -exec mv {} ~/FLACFlat/ \;
Move all .aac files from AACMusic and all subfolders into the AACFlat directory,find ~/AACMusic -type f -name '*.aac' -exec mv {} ~/AACFlat/ \;
Move all .webm files from WebMovies and its subfolders into the WEBMFlat directory,find ~/WebMovies -type f -name '*.webm' -exec mv {} ~/WEBMFlat/ \;
Move all .mov files from MovieFiles and all nested folders into the MOVFlat directory,find ~/MovieFiles -type f -name '*.mov' -exec mv {} ~/MOVFlat/ \;
Move all .mkv files from MKVMovies and subfolders into the MKVFlat directory,find ~/MKVMovies -type f -name '*.mkv' -exec mv {} ~/MKVFlat/ \;
Move all .avi files from AVIMovies and all subfolders into the AVIFlat directory,find ~/AVIMovies -type f -name '*.avi' -exec mv {} ~/AVIFlat/ \;
Move all .tar files from Tarballs and its subfolders into the TARFlat directory,find ~/Tarballs -type f -name '*.tar' -exec mv {} ~/TARFlat/ \;
Move all .gz files from GZFiles and all nested folders into the GZFlat directory,find ~/GZFiles -type f -name '*.gz' -exec mv {} ~/GZFlat/ \;
Move all .7z files from Archives7z and subfolders into the SevenZFlat directory,find ~/Archives7z -type f -name '*.7z' -exec mv {} ~/SevenZFlat/ \;
Move all .rar files from RARArchives and all subfolders into the RARFlat directory,find ~/RARArchives -type f -name '*.rar' -exec mv {} ~/RARFlat/ \;
Move all .mpg files from MPGMovies and its subfolders into the MPGFlat directory,find ~/MPGMovies -type f -name '*.mpg' -exec mv {} ~/MPGFlat/ \;
Move all .mpeg files from MPEGMovies and all nested folders into the MPEGFlat directory,find ~/MPEGMovies -type f -name '*.mpeg' -exec mv {} ~/MPEGFlat/ \;
Move all .ogg files from OGGMusic and subfolders into the OGGFlat directory,find ~/OGGMusic -type f -name '*.ogg' -exec mv {} ~/OGGFlat/ \;
Move all .opus files from OpusMusic and all subfolders into the OPUSFlat directory,find ~/OpusMusic -type f -name '*.opus' -exec mv {} ~/OPUSFlat/ \;
Move all .bmp files from Bitmaps and its subfolders into the BMPFlat directory,find ~/Bitmaps -type f -name '*.bmp' -exec mv {} ~/BMPFlat/ \;
Move all .tiff files from TIFFs and all nested folders into the TIFFFlat directory,find ~/TIFFs -type f -name '*.tiff' -exec mv {} ~/TIFFFlat/ \;
Move all .heic files from HEICPhotos and subfolders into the HEICFlat directory,find ~/HEICPhotos -type f -name '*.heic' -exec mv {} ~/HEICFlat/ \;
Move all .apng files from APNGs and all subfolders into the APNGFlat directory,find ~/APNGs -type f -name '*.apng' -exec mv {} ~/APNGFlat/ \;
Move all .cr2 files from CanonRAW and its subfolders into the CR2Flat directory,find ~/CanonRAW -type f -name '*.cr2' -exec mv {} ~/CR2Flat/ \;
Move all .nef files from NikonRAW and all nested folders into the NEFFlat directory,find ~/NikonRAW -type f -name '*.nef' -exec mv {} ~/NEFFlat/ \;
Move all .arw files from SonyRAW and subfolders into the ARWFlat directory,find ~/SonyRAW -type f -name '*.arw' -exec mv {} ~/ARWFlat/ \;
Move all .dng files from DNGPhotos and all subfolders into the DNGFlat directory,find ~/DNGPhotos -type f -name '*.dng' -exec mv {} ~/DNGFlat/ \;
Move all .svgz files from SVGZs and its subfolders into the SVGZFlat directory,find ~/SVGZs -type f -name '*.svgz' -exec mv {} ~/SVGZFlat/ \;
Move all .ico files from Icons and all nested folders into the ICOFlat directory,find ~/Icons -type f -name '*.ico' -exec mv {} ~/ICOFlat/ \;
Move all .jfif files from JFIFs and subfolders into the JFIFFlat directory,find ~/JFIFs -type f -name '*.jfif' -exec mv {} ~/JFIFFlat/ \;
Move all .webp files from WebPImages and all subfolders into the WEBPFlat directory,find ~/WebPImages -type f -name '*.webp' -exec mv {} ~/WEBPFlat/ \;
Move all .m4a files from M4AMusic and its subfolders into the M4AFlat directory,find ~/M4AMusic -type f -name '*.m4a' -exec mv {} ~/M4AFlat/ \;
Move all .aac files from AACAudio and all nested folders into the AACAudioFlat directory,find ~/AACAudio -type f -name '*.aac' -exec mv {} ~/AACAudioFlat/ \;
Move all .flv files from FLVVideos and subfolders into the FLVFlat directory,find ~/FLVVideos -type f -name '*.flv' -exec mv {} ~/FLVFlat/ \;
Move all .3gp files from ThreeGPVideos and all subfolders into the ThreeGPFlat directory,find ~/ThreeGPVideos -type f -name '*.3gp' -exec mv {} ~/ThreeGPFlat/ \;
Move all .m4v files from M4VMovies and its subfolders into the M4VFlat directory,find ~/M4VMovies -type f -name '*.m4v' -exec mv {} ~/M4VFlat/ \;
Move all .asf files from ASFMovies and all nested folders into the ASFFlat directory,find ~/ASFMovies -type f -name '*.asf' -exec mv {} ~/ASFFlat/ \;
Move all .vob files from VOBMovies and subfolders into the VOBFlat directory,find ~/VOBMovies -type f -name '*.vob' -exec mv {} ~/VOBFlat/ \;
Move all .wmv files from WMVMovies and all subfolders into the WMVFlat directory,find ~/WMVMovies -type f -name '*.wmv' -exec mv {} ~/WMVFlat/ \;
Move all .rm files from RealMedia and its subfolders into the RMFlat directory,find ~/RealMedia -type f -name '*.rm' -exec mv {} ~/RMFlat/ \;
Move all .ram files from RealAudio and all nested folders into the RAMFlat directory,find ~/RealAudio -type f -name '*.ram' -exec mv {} ~/RAMFlat/ \;
Move all .midi files from MIDIFiles and subfolders into the MIDIFLat directory,find ~/MIDIFiles -type f -name '*.midi' -exec mv {} ~/MIDIFLat/ \;
Move all .mid files from MIDFiles and all subfolders into the MIDFlat directory,find ~/MIDFiles -type f -name '*.mid' -exec mv {} ~/MIDFlat/ \;
Move all .aiff files from AIFFMusic and its subfolders into the AIFFFlat directory,find ~/AIFFMusic -type f -name '*.aiff' -exec mv {} ~/AIFFFlat/ \;
Move all .au files from AUMusic and all nested folders into the AUFlat directory,find ~/AUMusic -type f -name '*.au' -exec mv {} ~/AUFlat/ \;
Move all .mp2 files from MP2Music and subfolders into the MP2Flat directory,find ~/MP2Music -type f -name '*.mp2' -exec mv {} ~/MP2Flat/ \;
Move all .amr files from AMRRecordings and all subfolders into the AMRFlat directory,find ~/AMRRecordings -type f -name '*.amr' -exec mv {} ~/AMRFlat/ \;
Move all .caf files from CAFMusic and its subfolders into the CAFFlat directory,find ~/CAFMusic -type f -name '*.caf' -exec mv {} ~/CAFFlat/ \;
Move all .ra files from RAMusic and all nested folders into the RAFlat directory,find ~/RAMusic -type f -name '*.ra' -exec mv {} ~/RAFlat/ \;
Move all .mka files from MKAMusic and subfolders into the MKAFlat directory,find ~/MKAMusic -type f -name '*.mka' -exec mv {} ~/MKAFlat/ \;
Move all .dsf files from DSFMusic and all subfolders into the DSFFlat directory,find ~/DSFMusic -type f -name '*.dsf' -exec mv {} ~/DSFFlat/ \;
Move all .dff files from DFFMusic and its subfolders into the DFFFlat directory,find ~/DFFMusic -type f -name '*.dff' -exec mv {} ~/DFFFlat/ \;
Move all .wv files from WVMusic and all nested folders into the WVFlat directory,find ~/WVMusic -type f -name '*.wv' -exec mv {} ~/WVFlat/ \;
Move all .ape files from APEMusic and subfolders into the APEFlat directory,find ~/APEMusic -type f -name '*.ape' -exec mv {} ~/APEFlat/ \;
Move all .mpc files from MPCMusic and all subfolders into the MPCFlat directory,find ~/MPCMusic -type f -name '*.mpc' -exec mv {} ~/MPCFlat/ \;
Move all .tta files from TTAMusic and its subfolders into the TTAFlat directory,find ~/TTAMusic -type f -name '*.tta' -exec mv {} ~/TTAFlat/ \;
Move all .oga files from OGAMusic and all nested folders into the OGAFlat directory,find ~/OGAMusic -type f -name '*.oga' -exec mv {} ~/OGAFlat/ \;
Move all .spx files from SPXMusic and subfolders into the SPXFlat directory,find ~/SPXMusic -type f -name '*.spx' -exec mv {} ~/SPXFlat/ \;
Move all .opus files from OpusAudio and all subfolders into the OpusAudioFlat directory,find ~/OpusAudio -type f -name '*.opus' -exec mv {} ~/OpusAudioFlat/ \;
Move all .m3u files from Playlists and its subfolders into the M3UFlat directory,find ~/Playlists -type f -name '*.m3u' -exec mv {} ~/M3UFlat/ \;
Move all .pls files from PLSPlaylists and all nested folders into the PLSFlat directory,find ~/PLSPlaylists -type f -name '*.pls' -exec mv {} ~/PLSFlat/ \;
Move all .cue files from CueSheets and subfolders into the CUEFlat directory,find ~/CueSheets -type f -name '*.cue' -exec mv {} ~/CUEFlat/ \;
Move all .jpg files from Pictures created in January 2023 to 2023/January/ and rename as <day>.jpg,find ~/Pictures -type f -name '*.jpg' -newermt 2023-01-01 ! -newermt 2023-02-01 -exec sh -c 'd=$(date -r "$0" +%d); mv "$0" ~/2023/January/"$d".jpg' {} \;
Move all .png files from Pictures created in February 2023 to 2023/February/ and rename as <day>.png,find ~/Pictures -type f -name '*.png' -newermt 2023-02-01 ! -newermt 2023-03-01 -exec sh -c 'd=$(date -r "$1" +%d); mv "$1" ~/2023/February/"$d".png' _ {} \;
Move all .gif files from Gifs created in March 2023 to 2023/March/ and rename as <day>.gif,find ~/Gifs -type f -name '*.gif' -newermt 2023-03-01 ! -newermt 2023-04-01 -exec sh -c 'd=$(date -r "$1" +%d); mv "$1" ~/2023/March/"$d".gif' _ {} \;
Move all .bmp files from Bitmaps created in April 2023 to 2023/April/ and rename as <day>.bmp,find ~/Bitmaps -type f -name '*.bmp' -newermt 2023-04-01 ! -newermt 2023-05-01 -exec sh -c 'd=$(date -r "$1" +%d); mv "$1" ~/2023/April/"$d".bmp' _ {} \;
Move all .svg files from SVGs created in May 2023 to 2023/May/ and rename as <day>.svg,find ~/SVGs -type f -name '*.svg' -newermt 2023-05-01 ! -newermt 2023-06-01 -exec sh -c 'd=$(date -r "$0" +%d); mv "$0" ~/2023/May/"$d".svg' {} \;
Group all files by year and month based on modification date,for file in *; do [ -f \"$file\" ] || continue; year=$(date -r \"$file\" +\"%Y\"); month=$(date -r \"$file\" +\"%b\"); mkdir -p \"$year/$month\"; mv \"$file\" \"$year/$month/\"; done"
Move all PDF files to a folder called pdfs,mkdir -p pdfs && mv *.pdf pdfs/"
Count how many .txt files are in the directory,ls *.txt | wc -l"
List all files modified in the last 7 days,find . -type f -mtime -7"
Delete all .log files larger than 10MB,find . -name '*.log' -size +10M -delete"
Find all image files and move them to an 'images' folder,mkdir -p images && mv *.jpg *.jpeg *.png images/"
Move all JPG files from subdirectories to the current directory,"find . -type f -iname ""*.jpg"" -exec mv {} . \;"
Move all MP4 and MOV files from Downloads to ~/Videos,"mv ~/Downloads/*.{mp4,MOV} ~/Videos/"
Move all PNG files from any subfolder into the parent folder,"find . -mindepth 2 -type f -iname ""*.png"" -exec mv {} . \;"
Move all JPEGs from ~/NAS/Camera/2023 to ~/NAS/Camera,mv ~/NAS/Camera/2023/*.jpeg ~/NAS/Camera/
Move all image files from Desktop to Pictures folder,"mv ~/Desktop/*.{jpg,jpeg,png} ~/Pictures/"
Move all videos from child folders of ~/NAS to ~/NAS/Videos,"find ~/NAS -type f \( -iname ""*.mp4"" -o -iname ""*.mov"" \) -exec mv {} ~/NAS/Videos/ \;"
Move all images to a folder named images in the home directory,"find . -type f \( -iname ""*.jpg"" -o -iname ""*.jpeg"" -o -iname ""*.png"" \) -exec mv {} ~/images/ \;"
Move files larger than 500MB to ~/NAS/LargeVideos,find . -type f -size +500M -exec mv {} ~/NAS/LargeVideos/ \;
Move all media files modified this month to ~/NAS/RecentMedia,"find . -type f \( -iname ""*.jpg"" -o -iname ""*.mp4"" -o -iname ""*.mov"" \) -newermt ""$(date +%Y-%m-01)"" -exec mv {} ~/NAS/RecentMedia/ \;"
Move files created in 2022 to ~/NAS/Archive/2022,find . -type f -newermt 2022-01-01 ! -newermt 2023-01-01 -exec mv {} ~/NAS/Archive/2022/ \;
Move all JPEG images from ~/NAS to ~/Downloads,mv ~/NAS/*.jpg ~/Downloads/
Move all JPEG images from ~/NAS to ~/Desktop,mv ~/NAS/*.jpg ~/Desktop/
Move all JPEG images from ~/NAS to ~/Media,mv ~/NAS/*.jpg ~/Media/
Move all JPEG images from ~/NAS to ~/NAS/Camera,mv ~/NAS/*.jpg ~/NAS/Camera/
Move all JPEG images from ~/NAS to ~/NAS/Sorted,mv ~/NAS/*.jpg ~/NAS/Sorted/
Move all JPEG images from ~/NAS to ~/NAS/Temp,mv ~/NAS/*.jpg ~/NAS/Temp/
Move all JPEG images from ~/Downloads to ~/NAS,mv ~/Downloads/*.jpg ~/NAS/
Move all JPEG images from ~/Downloads to ~/Desktop,mv ~/Downloads/*.jpg ~/Desktop/
Move all JPEG images from ~/Downloads to ~/Media,mv ~/Downloads/*.jpg ~/Media/
Move all JPEG images from ~/Downloads to ~/NAS/Camera,mv ~/Downloads/*.jpg ~/NAS/Camera/
Move all JPEG images from ~/Downloads to ~/NAS/Sorted,mv ~/Downloads/*.jpg ~/NAS/Sorted/
Move all JPEG images from ~/Downloads to ~/NAS/Temp,mv ~/Downloads/*.jpg ~/NAS/Temp/
Move all JPEG images from ~/Desktop to ~/NAS,mv ~/Desktop/*.jpg ~/NAS/
Move all JPEG images from ~/Desktop to ~/Downloads,mv ~/Desktop/*.jpg ~/Downloads/
Move all JPEG images from ~/Desktop to ~/Media,mv ~/Desktop/*.jpg ~/Media/
Move all JPEG images from ~/Desktop to ~/NAS/Camera,mv ~/Desktop/*.jpg ~/NAS/Camera/
Move all JPEG images from ~/Desktop to ~/NAS/Sorted,mv ~/Desktop/*.jpg ~/NAS/Sorted/
Move all JPEG images from ~/Desktop to ~/NAS/Temp,mv ~/Desktop/*.jpg ~/NAS/Temp/
Move all JPEG images from ~/Media to ~/NAS,mv ~/Media/*.jpg ~/NAS/
Move all JPEG images from ~/Media to ~/Downloads,mv ~/Media/*.jpg ~/Downloads/
Move all JPEG images from ~/Media to ~/Desktop,mv ~/Media/*.jpg ~/Desktop/
Move all JPEG images from ~/Media to ~/NAS/Camera,mv ~/Media/*.jpg ~/NAS/Camera/
Move all JPEG images from ~/Media to ~/NAS/Sorted,mv ~/Media/*.jpg ~/NAS/Sorted/
Move all JPEG images from ~/Media to ~/NAS/Temp,mv ~/Media/*.jpg ~/NAS/Temp/
Move all JPEG images from ~/NAS/Camera to ~/NAS,mv ~/NAS/Camera/*.jpg ~/NAS/
Move all JPEG images from ~/NAS/Camera to ~/Downloads,mv ~/NAS/Camera/*.jpg ~/Downloads/
Move all JPEG images from ~/NAS/Camera to ~/Desktop,mv ~/NAS/Camera/*.jpg ~/Desktop/
Move all JPEG images from ~/NAS/Camera to ~/Media,mv ~/NAS/Camera/*.jpg ~/Media/
Move all JPEG images from ~/NAS/Camera to ~/NAS/Sorted,mv ~/NAS/Camera/*.jpg ~/NAS/Sorted/
Move all JPEG images from ~/NAS/Camera to ~/NAS/Temp,mv ~/NAS/Camera/*.jpg ~/NAS/Temp/
Move all JPEG images from ~/NAS/Sorted to ~/NAS,mv ~/NAS/Sorted/*.jpg ~/NAS/
Move all JPEG images from ~/NAS/Sorted to ~/Downloads,mv ~/NAS/Sorted/*.jpg ~/Downloads/
Move all JPEG images from ~/NAS/Sorted to ~/Desktop,mv ~/NAS/Sorted/*.jpg ~/Desktop/
Move all JPEG images from ~/NAS/Sorted to ~/Media,mv ~/NAS/Sorted/*.jpg ~/Media/
Move all JPEG images from ~/NAS/Sorted to ~/NAS/Camera,mv ~/NAS/Sorted/*.jpg ~/NAS/Camera/
Move all JPEG images from ~/NAS/Sorted to ~/NAS/Temp,mv ~/NAS/Sorted/*.jpg ~/NAS/Temp/
Move all JPEG images from ~/NAS/Temp to ~/NAS,mv ~/NAS/Temp/*.jpg ~/NAS/
Move all JPEG images from ~/NAS/Temp to ~/Downloads,mv ~/NAS/Temp/*.jpg ~/Downloads/
Move all JPEG images from ~/NAS/Temp to ~/Desktop,mv ~/NAS/Temp/*.jpg ~/Desktop/
Move all JPEG images from ~/NAS/Temp to ~/Media,mv ~/NAS/Temp/*.jpg ~/Media/
Move all JPEG images from ~/NAS/Temp to ~/NAS/Camera,mv ~/NAS/Temp/*.jpg ~/NAS/Camera/
Move all JPEG images from ~/NAS/Temp to ~/NAS/Sorted,mv ~/NAS/Temp/*.jpg ~/NAS/Sorted/
Move all JPEG images from ~/NAS to ~/Downloads,mv ~/NAS/*.jpeg ~/Downloads/
Move all JPEG images from ~/NAS to ~/Desktop,mv ~/NAS/*.jpeg ~/Desktop/
Move all JPEG images from ~/NAS to ~/Media,mv ~/NAS/*.jpeg ~/Media/
Move all JPEG images from ~/NAS to ~/NAS/Camera,mv ~/NAS/*.jpeg ~/NAS/Camera/
Move all JPEG images from ~/NAS to ~/NAS/Sorted,mv ~/NAS/*.jpeg ~/NAS/Sorted/
Move all JPEG images from ~/NAS to ~/NAS/Temp,mv ~/NAS/*.jpeg ~/NAS/Temp/
Move all JPEG images from ~/Downloads to ~/NAS,mv ~/Downloads/*.jpeg ~/NAS/
Move all JPEG images from ~/Downloads to ~/Desktop,mv ~/Downloads/*.jpeg ~/Desktop/
Move all JPEG images from ~/Downloads to ~/Media,mv ~/Downloads/*.jpeg ~/Media/
Move all JPEG images from ~/Downloads to ~/NAS/Camera,mv ~/Downloads/*.jpeg ~/NAS/Camera/
Move all JPEG images from ~/Downloads to ~/NAS/Sorted,mv ~/Downloads/*.jpeg ~/NAS/Sorted/
Move all JPEG images from ~/Downloads to ~/NAS/Temp,mv ~/Downloads/*.jpeg ~/NAS/Temp/
Move all JPEG images from ~/Desktop to ~/NAS,mv ~/Desktop/*.jpeg ~/NAS/
Move all JPEG images from ~/Desktop to ~/Downloads,mv ~/Desktop/*.jpeg ~/Downloads/
Move all JPEG images from ~/Desktop to ~/Media,mv ~/Desktop/*.jpeg ~/Media/
Move all JPEG images from ~/Desktop to ~/NAS/Camera,mv ~/Desktop/*.jpeg ~/NAS/Camera/
Move all JPEG images from ~/Desktop to ~/NAS/Sorted,mv ~/Desktop/*.jpeg ~/NAS/Sorted/
Move all JPEG images from ~/Desktop to ~/NAS/Temp,mv ~/Desktop/*.jpeg ~/NAS/Temp/
Move all JPEG images from ~/Media to ~/NAS,mv ~/Media/*.jpeg ~/NAS/
Move all JPEG images from ~/Media to ~/Downloads,mv ~/Media/*.jpeg ~/Downloads/
Move all JPEG images from ~/Media to ~/Desktop,mv ~/Media/*.jpeg ~/Desktop/
Move all JPEG images from ~/Media to ~/NAS/Camera,mv ~/Media/*.jpeg ~/NAS/Camera/
Move all JPEG images from ~/Media to ~/NAS/Sorted,mv ~/Media/*.jpeg ~/NAS/Sorted/
Group all MP4 files based on their creation date into year/month folders,"find . -type f -iname ""*.mp4"" -exec bash -c 'for f; do dir=$(date -r ""$f"" ""+%Y/%B"" | tr ""[:upper:]"" ""[:lower:]""); mkdir -p ""$dir""; mv ""$f"" ""$dir/""; done' bash {} +"
Move all JPEG images from ~/Media to ~/NAS/Temp,mv ~/Media/*.jpeg ~/NAS/Temp/
Move all JPEG images from ~/NAS/Camera to ~/NAS,mv ~/NAS/Camera/*.jpeg ~/NAS/
Move all JPEG images from ~/NAS/Camera to ~/Downloads,mv ~/NAS/Camera/*.jpeg ~/Downloads/
Move all JPEG images from ~/NAS/Camera to ~/Desktop,mv ~/NAS/Camera/*.jpeg ~/Desktop/
Move all JPEG images from ~/NAS/Camera to ~/Media,mv ~/NAS/Camera/*.jpeg ~/Media/
Move all JPEG images from ~/NAS/Camera to ~/NAS/Sorted,mv ~/NAS/Camera/*.jpeg ~/NAS/Sorted/
Move all JPEG images from ~/NAS/Camera to ~/NAS/Temp,mv ~/NAS/Camera/*.jpeg ~/NAS/Temp/
Move all JPEG images from ~/NAS/Sorted to ~/NAS,mv ~/NAS/Sorted/*.jpeg ~/NAS/
Move all JPEG images from ~/NAS/Sorted to ~/Downloads,mv ~/NAS/Sorted/*.jpeg ~/Downloads/
Move all JPEG images from ~/NAS/Sorted to ~/Desktop,mv ~/NAS/Sorted/*.jpeg ~/Desktop/
Move all JPEG images from ~/NAS/Sorted to ~/Media,mv ~/NAS/Sorted/*.jpeg ~/Media/
Move all JPEG images from ~/NAS/Sorted to ~/NAS/Camera,mv ~/NAS/Sorted/*.jpeg ~/NAS/Camera/
Move all JPEG images from ~/NAS/Sorted to ~/NAS/Temp,mv ~/NAS/Sorted/*.jpeg ~/NAS/Temp/
Move all JPEG images from ~/NAS/Temp to ~/NAS,mv ~/NAS/Temp/*.jpeg ~/NAS/
Move all JPEG images from ~/NAS/Temp to ~/Downloads,mv ~/NAS/Temp/*.jpeg ~/Downloads/
Move all JPEG images from ~/NAS/Temp to ~/Desktop,mv ~/NAS/Temp/*.jpeg ~/Desktop/
Move all JPEG images from ~/NAS/Temp to ~/Media,mv ~/NAS/Temp/*.jpeg ~/Media/
Move all JPEG images from ~/NAS/Temp to ~/NAS/Camera,mv ~/NAS/Temp/*.jpeg ~/NAS/Camera/
Move all JPEG images from ~/NAS/Temp to ~/NAS/Sorted,mv ~/NAS/Temp/*.jpeg ~/NAS/Sorted/
Move all PNG images from ~/NAS to ~/Downloads,mv ~/NAS/*.png ~/Downloads/
Move all PNG images from ~/NAS to ~/Desktop,mv ~/NAS/*.png ~/Desktop/
Move all PNG images from ~/NAS to ~/Media,mv ~/NAS/*.png ~/Media/
Move all PNG images from ~/NAS to ~/NAS/Camera,mv ~/NAS/*.png ~/NAS/Camera/
Move all PNG images from ~/NAS to ~/NAS/Sorted,mv ~/NAS/*.png ~/NAS/Sorted/
Move all PNG images from ~/NAS to ~/NAS/Temp,mv ~/NAS/*.png ~/NAS/Temp/
Move all PNG images from ~/Downloads to ~/NAS,mv ~/Downloads/*.png ~/NAS/
Move all PNG images from ~/Downloads to ~/Desktop,mv ~/Downloads/*.png ~/Desktop/
Move all PNG images from ~/Downloads to ~/Media,mv ~/Downloads/*.png ~/Media/
Move all PNG images from ~/Downloads to ~/NAS/Camera,mv ~/Downloads/*.png ~/NAS/Camera/
Move all PNG images from ~/Downloads to ~/NAS/Sorted,mv ~/Downloads/*.png ~/NAS/Sorted/
Move all PNG images from ~/Downloads to ~/NAS/Temp,mv ~/Downloads/*.png ~/NAS/Temp/
Move all PNG images from ~/Desktop to ~/NAS,mv ~/Desktop/*.png ~/NAS/
Move all PNG images from ~/Desktop to ~/Downloads,mv ~/Desktop/*.png ~/Downloads/
Move all PNG images from ~/Desktop to ~/Media,mv ~/Desktop/*.png ~/Media/
Move all PNG images from ~/Desktop to ~/NAS/Camera,mv ~/Desktop/*.png ~/NAS/Camera/
Move all PNG images from ~/Desktop to ~/NAS/Sorted,mv ~/Desktop/*.png ~/NAS/Sorted/
Move all PNG images from ~/Desktop to ~/NAS/Temp,mv ~/Desktop/*.png ~/NAS/Temp/
Move all PNG images from ~/Media to ~/NAS,mv ~/Media/*.png ~/NAS/
Move all PNG images from ~/Media to ~/Downloads,mv ~/Media/*.png ~/Downloads/
Move all PNG images from ~/Media to ~/Desktop,mv ~/Media/*.png ~/Desktop/
Move all PNG images from ~/Media to ~/NAS/Camera,mv ~/Media/*.png ~/NAS/Camera/
Move all PNG images from ~/Media to ~/NAS/Sorted,mv ~/Media/*.png ~/NAS/Sorted/
Move all PNG images from ~/Media to ~/NAS/Temp,mv ~/Media/*.png ~/NAS/Temp/
Move all PNG images from ~/NAS/Camera to ~/NAS,mv ~/NAS/Camera/*.png ~/NAS/
Move all PNG images from ~/NAS/Camera to ~/Downloads,mv ~/NAS/Camera/*.png ~/Downloads/
Move all PNG images from ~/NAS/Camera to ~/Desktop,mv ~/NAS/Camera/*.png ~/Desktop/
Move all PNG images from ~/NAS/Camera to ~/Media,mv ~/NAS/Camera/*.png ~/Media/
Move all PNG images from ~/NAS/Camera to ~/NAS/Sorted,mv ~/NAS/Camera/*.png ~/NAS/Sorted/
Move all PNG images from ~/NAS/Camera to ~/NAS/Temp,mv ~/NAS/Camera/*.png ~/NAS/Temp/
Move all PNG images from ~/NAS/Sorted to ~/NAS,mv ~/NAS/Sorted/*.png ~/NAS/
Move all PNG images from ~/NAS/Sorted to ~/Downloads,mv ~/NAS/Sorted/*.png ~/Downloads/
Move all PNG images from ~/NAS/Sorted to ~/Desktop,mv ~/NAS/Sorted/*.png ~/Desktop/
Move all PNG images from ~/NAS/Sorted to ~/Media,mv ~/NAS/Sorted/*.png ~/Media/
Move all PNG images from ~/NAS/Sorted to ~/NAS/Camera,mv ~/NAS/Sorted/*.png ~/NAS/Camera/
Move all PNG images from ~/NAS/Sorted to ~/NAS/Temp,mv ~/NAS/Sorted/*.png ~/NAS/Temp/
Move all PNG images from ~/NAS/Temp to ~/NAS,mv ~/NAS/Temp/*.png ~/NAS/
Move all PNG images from ~/NAS/Temp to ~/Downloads,mv ~/NAS/Temp/*.png ~/Downloads/
Move all PNG images from ~/NAS/Temp to ~/Desktop,mv ~/NAS/Temp/*.png ~/Desktop/
Move all PNG images from ~/NAS/Temp to ~/Media,mv ~/NAS/Temp/*.png ~/Media/
Move all PNG images from ~/NAS/Temp to ~/NAS/Camera,mv ~/NAS/Temp/*.png ~/NAS/Camera/
Move all PNG images from ~/NAS/Temp to ~/NAS/Sorted,mv ~/NAS/Temp/*.png ~/NAS/Sorted/
Move all MP4 videos from ~/NAS to ~/Downloads,mv ~/NAS/*.mp4 ~/Downloads/
Move all MP4 videos from ~/NAS to ~/Desktop,mv ~/NAS/*.mp4 ~/Desktop/
Move all MP4 videos from ~/NAS to ~/Media,mv ~/NAS/*.mp4 ~/Media/
Move all MP4 videos from ~/NAS to ~/NAS/Camera,mv ~/NAS/*.mp4 ~/NAS/Camera/
Move all MP4 videos from ~/NAS to ~/NAS/Sorted,mv ~/NAS/*.mp4 ~/NAS/Sorted/
Move all MP4 videos from ~/NAS to ~/NAS/Temp,mv ~/NAS/*.mp4 ~/NAS/Temp/
Move all MP4 videos from ~/Downloads to ~/NAS,mv ~/Downloads/*.mp4 ~/NAS/
Move all MP4 videos from ~/Downloads to ~/Desktop,mv ~/Downloads/*.mp4 ~/Desktop/
Move all MP4 videos from ~/Downloads to ~/Media,mv ~/Downloads/*.mp4 ~/Media/
Move all MP4 videos from ~/Downloads to ~/NAS/Camera,mv ~/Downloads/*.mp4 ~/NAS/Camera/
Move all MP4 videos from ~/Downloads to ~/NAS/Sorted,mv ~/Downloads/*.mp4 ~/NAS/Sorted/
Move all MP4 videos from ~/Downloads to ~/NAS/Temp,mv ~/Downloads/*.mp4 ~/NAS/Temp/
Move all MP4 videos from ~/Desktop to ~/NAS,mv ~/Desktop/*.mp4 ~/NAS/
Move all MP4 videos from ~/Desktop to ~/Downloads,mv ~/Desktop/*.mp4 ~/Downloads/
